Запрос,Кол-во сессий с поиском,Кол-во пользователей поиска,Сесиий с добавлением,Кол-во заказов с поиска,GMV поиска,CR в добавление,Доля переходов в заказ,CR с поиска в заказ,Тип пользователя
помпа дренажная для кондиционера rf powerful rexfaber rp000010,53,51,4,2,22407,0.07547169811320754,0.5,0.03773584905660377,1
start,53,46,2,1,32454,0.03773584905660377,0.5,0.018867924528301886,1
изолированные пассатижи 180мм, 1000в квт 55985,53,49,29,13,29103,0.49056603773584906,0.4482758620689655,0.24528301886792453,1
кабель rexant utp 4pr 24awg, cu , cat5e, 100 мгц, pvc, серый, бухта 50 м 01004350,53,52,12,9,29698,0.18867924528301888,0.5833333333333334,0.1320754716981132,1
дрель электрическая,53,49,13,3,31298,0.1320754716981132,0.23076923076923078,0.05660377358490566,1
резчик швов,53,49,4,1,154714,0.03773584905660377,0.25,0.018867924528301886,1
строительная щетка сибртех 400 мм 84621,53,50,11,4,3126,0.20754716981132076,0.36363636363636365,0.07547169811320754,1
насос для колодца,53,52,6,1,12573,0.07547169811320754,0.16666666666666666,0.018867924528301886,1
набор адаптеров для торцевых головок,53,51,17,6,1610,0.3018867924528302,0.35294117647058826,0.11320754716981132,1
колесо полиуретановое,53,50,14,6,12306,0.20754716981132076,0.42857142857142855,0.11320754716981132,1
очиститель контактов 335 мл kerry 11604698,53,52,17,9,11701,0.32075471698113206,0.5294117647058824,0.16981132075471697,1
бензин zeepdeep калоша 1 л 865268,53,52,10,5,31691,0.16981132075471697,0.5,0.09433962264150944,1
телевизионные розетки тв,53,52,19,8,9008,0.32075471698113206,0.3684210526315789,0.1320754716981132,1
катетомер,53,41,10,1,1595,0.1509433962264151,0.1,0.018867924528301886,1
стекло для маски сварщика,53,50,3,1,2520,0.05660377358490566,0.3333333333333333,0.018867924528301886,1
счетчик воды сгв15 без кмч бет.г15 бетар бет.г15 б/кмч,53,53,10,4,5086,0.18867924528301888,0.4,0.07547169811320754,1
напильник по металлу,53,48,17,2,2363,0.2641509433962264,0.11764705882352941,0.03773584905660377,1
шуруп глухарь,53,48,9,2,82,0.1320754716981132,0.2222222222222222,0.03773584905660377,1
муфта для шланга,53,51,17,3,738,0.22641509433962265,0.17647058823529413,0.05660377358490566,1
эмаль красиво пф115 серая, бар. 20 кг 4690417011155,53,52,16,9,128870,0.2641509433962264,0.5625,0.16981132075471697,1
держатель для бумажных полотенец,53,50,13,7,13245,0.18867924528301888,0.46153846153846156,0.11320754716981132,1
инструментальная тележка inforce 4 ящика 060118,52,51,9,6,286831,0.17307692307692307,0.6666666666666666,0.11538461538461539,1
ручной стартер,52,48,7,4,3392,0.1346153846153846,0.5714285714285714,0.07692307692307693,1
ведро строительное 20 л,52,49,28,12,11907,0.4230769230769231,0.42857142857142855,0.23076923076923078,1
замазка,52,39,5,2,243,0.07692307692307693,0.4,0.038461538461538464,1
холодный цинк,52,50,12,10,42525,0.21153846153846154,0.8333333333333334,0.19230769230769232,1
бензопила sturm gc99452b,52,48,4,1,7624,0.057692307692307696,0.25,0.019230769230769232,1
helmut,52,33,4,2,214136,0.07692307692307693,0.5,0.038461538461538464,1
светильник садовый,52,50,4,3,2440,0.057692307692307696,0.5,0.038461538461538464,1
налобный фонарь feron zoom с аккумулятором th2305 5w 2x18650 ip44 пластикалюминий 41709,52,48,15,6,39021,0.2692307692307692,0.4,0.11538461538461539,1
декоративные обводы для труб (розетты),52,47,18,9,2531,0.23076923076923078,0.5,0.17307692307692307,1
сальник, pg  16, 914 ip68 dkc 52900,52,51,12,5,2828,0.23076923076923078,0.4166666666666667,0.09615384615384616,1
сумка для ноутбука,52,50,13,4,6640,0.15384615384615385,0.3076923076923077,0.07692307692307693,1
складная мебель,52,49,4,3,4384,0.057692307692307696,0.5,0.038461538461538464,1
фильтры грязевики 32 мм,52,50,15,3,1764,0.23076923076923078,0.2,0.057692307692307696,1
15596381,52,48,17,12,46368,0.3076923076923077,0.7058823529411765,0.23076923076923078,1
ведро 20 литров,52,43,14,4,3285,0.21153846153846154,0.2857142857142857,0.07692307692307693,1
настенный кронштейн миг 12110,52,47,20,10,5779,0.34615384615384615,0.4,0.15384615384615385,1
проз,52,52,10,1,582,0.17307692307692307,0.1,0.019230769230769232,1
ёршик,52,48,12,3,15303,0.15384615384615385,0.25,0.057692307692307696,1
катушка lux 10002 k1 с металлическим ободом без провода 4606400420521,52,51,16,8,20270,0.3076923076923077,0.5,0.15384615384615385,1
lr1130,52,50,28,13,874,0.5192307692307693,0.42857142857142855,0.23076923076923078,1
труба политэк наруж.110x3,4x3000 раструб в длине 20001103л,52,51,12,3,14126,0.19230769230769232,0.16666666666666666,0.038461538461538464,1
отбеливатель,52,49,11,5,1051,0.1346153846153846,0.36363636363636365,0.07692307692307693,1
мебельная гайкаштифт европартнер zn м6х10х12 10шт. 6 2423 1,52,52,10,3,466,0.15384615384615385,0.3,0.057692307692307696,1
инструмент для зачистки проводов workpro wp291010,52,51,3,1,1216,0.057692307692307696,0.3333333333333333,0.019230769230769232,1
виброопора impera ов31,52,48,10,5,59660,0.19230769230769232,0.5,0.09615384615384616,1
набор шарнирногубцевого инструмента ingco industrial усиленные, 3 пред. hkhlps2831,52,50,17,4,5705,0.28846153846153844,0.23529411764705882,0.07692307692307693,1
диск отрезной по металлу 230,52,46,31,13,60626,0.5192307692307693,0.3870967741935484,0.23076923076923078,1
бензиновая пила carver promo psg4515 01.004.00023,52,50,6,1,5127,0.09615384615384616,0.16666666666666666,0.019230769230769232,1
шуруп с кольцом,52,49,23,12,3938,0.28846153846153844,0.5217391304347826,0.23076923076923078,1
кусачки боковые,52,47,13,6,5491,0.19230769230769232,0.38461538461538464,0.09615384615384616,1
трубы для кабеля гофрированные 16 мм,52,52,23,15,35274,0.3269230769230769,0.5652173913043478,0.25,1
конструкционный саморез,52,39,7,2,1732,0.07692307692307693,0.14285714285714285,0.019230769230769232,1
базилик,52,48,65,16,524,0.7115384615384616,0.24615384615384617,0.3076923076923077,1
ручка телескопическая металлическая (150300 см) matrix 81232,52,51,18,8,4923,0.34615384615384615,0.4444444444444444,0.15384615384615385,1
уплотнения для камлоков,52,52,5,2,2539,0.057692307692307696,0.4,0.038461538461538464,1
набор комбинированных ключей с трещоткой 12 предметов inforce 060549,52,50,13,5,49988,0.25,0.38461538461538464,0.09615384615384616,1
держатель для телефона,52,47,8,2,1900,0.1346153846153846,0.25,0.038461538461538464,1
алюминиевая лестницастремянка алюмет матовая, 5 ступеней ам705,52,46,13,5,20310,0.25,0.38461538461538464,0.09615384615384616,1
тиски настольные,52,50,8,4,10622,0.1346153846153846,0.5,0.07692307692307693,1
смазка grease lx ep 2 400 г gazpromneft 2389906876,52,52,19,8,27599,0.34615384615384615,0.42105263157894735,0.15384615384615385,1
кабель ввг, ввгнг 2жильный,52,51,24,10,38566,0.34615384615384615,0.4166666666666667,0.19230769230769232,1
tantos,52,52,8,4,10893,0.11538461538461539,0.5,0.07692307692307693,1
кримпер для обжима,52,49,6,2,3097,0.11538461538461539,0.3333333333333333,0.038461538461538464,1
16022043,52,51,23,11,58167,0.38461538461538464,0.4782608695652174,0.21153846153846154,1
металлическая линейка,52,52,16,2,564,0.25,0.125,0.038461538461538464,1
папкискоросшиватели пластиковые,52,52,30,6,2918,0.3269230769230769,0.2,0.11538461538461539,1
метчик м20,52,48,16,8,8384,0.28846153846153844,0.4375,0.1346153846153846,1
перфоратор makita hr2470,52,48,7,2,27980,0.1346153846153846,0.2857142857142857,0.038461538461538464,1
ключ цепной,52,51,10,5,9755,0.15384615384615385,0.5,0.09615384615384616,1
simon,52,49,20,2,2783,0.17307692307692307,0.1,0.038461538461538464,1
подставка для ноутбука,51,44,8,5,5877,0.1568627450980392,0.625,0.09803921568627451,1
резьбовые заклепки м8,51,49,23,11,10331,0.35294117647058826,0.43478260869565216,0.19607843137254902,1
анкерные пластины для пластиковых окон,51,49,12,4,2424,0.21568627450980393,0.3333333333333333,0.0784313725490196,1
минимакс,51,50,1,1,8071,0.0196078431372549,1,0.0196078431372549,1
головка шестигранная,51,50,2,1,850,0.0392156862745098,0.5,0.0196078431372549,1
светодиодные лампы с цоколем g13,51,51,27,8,24760,0.35294117647058826,0.2962962962962963,0.1568627450980392,1
насосавтомат джилекс джамбо 60/35 п24 3014,51,51,11,4,99143,0.19607843137254902,0.36363636363636365,0.0784313725490196,1
перфоратор вихрь,51,44,3,2,19761,0.058823529411764705,0.6666666666666666,0.0392156862745098,1
штанговый высоторезсучкорез с секатором deli dl580512 4 шкива, сталь sk5, длина лезвия 290 мм, телескопическая рукоятка 104541,51,48,5,4,47121,0.0784313725490196,0.8,0.0784313725490196,1
парктроники,51,47,6,4,16817,0.11764705882352941,0.6666666666666666,0.0784313725490196,1
электроды по аллюминию 3 мм, 5 шт профессионал 7402,51,49,13,6,5328,0.23529411764705882,0.38461538461538464,0.09803921568627451,1
пропановая горелка квт пг 57760,51,47,7,2,22677,0.13725490196078433,0.2857142857142857,0.0392156862745098,1
кнопки, пульты для управления тельфером или талью,51,48,10,2,49598,0.13725490196078433,0.2,0.0392156862745098,1
p21/5w,51,49,21,7,1928,0.3333333333333333,0.3333333333333333,0.13725490196078433,1
миксер для краски,51,50,6,1,792,0.09803921568627451,0.16666666666666666,0.0196078431372549,1
сменный минивалик 100 мм, ворс 12 мм, d  15 мм, d ручки  6 мм, полиакрил matrix политекс 80708,51,48,17,10,36939,0.3333333333333333,0.5882352941176471,0.19607843137254902,1
красители для эпоксидной смолы,51,50,7,2,1180,0.13725490196078433,0.2857142857142857,0.0392156862745098,1
itap,51,48,11,3,7416,0.1568627450980392,0.2727272727272727,0.058823529411764705,1
аккумуляторные эксцентриковые шлифмашины,51,50,7,3,45545,0.09803921568627451,0.2857142857142857,0.0392156862745098,1
формы для выпечки и приготовления пищи,51,46,27,2,439,0.21568627450980393,0.07407407407407407,0.0392156862745098,1
уплотнительный жгут izol garant сплошной жс 70,51,45,19,9,2775,0.3333333333333333,0.47368421052631576,0.17647058823529413,1
конвектор ballu bec/ezmr1500, белый, нс1055666,51,50,10,2,87990,0.17647058823529413,0.2,0.0392156862745098,1
бокорезы knipex,51,49,19,2,10128,0.23529411764705882,0.10526315789473684,0.0392156862745098,1
кротоловки,51,50,27,11,11784,0.37254901960784315,0.4074074074074074,0.21568627450980393,1
адаптеры пружинные и переходники для шнеков мотобуров,51,48,21,7,13887,0.29411764705882354,0.3333333333333333,0.13725490196078433,1
отрезной диск 125,51,49,24,9,11388,0.3333333333333333,0.375,0.17647058823529413,1
анаэробный,51,48,10,3,5281,0.1568627450980392,0.3,0.058823529411764705,1
комбинированная торцовочная пила ryobi rtms1800g 1800 вт 5133002152,51,50,7,1,26008,0.13725490196078433,0.14285714285714285,0.0196078431372549,1
15139757,51,48,7,6,263198,0.11764705882352941,0.7142857142857143,0.09803921568627451,1
лобзиковый станок ryobi rsw1240g 5133002860,51,44,7,4,44635,0.11764705882352941,0.5714285714285714,0.0784313725490196,1
пнд фитинг,51,50,40,5,4972,0.3137254901960784,0.125,0.09803921568627451,1
складные туристические столы,51,45,8,4,24058,0.11764705882352941,0.5,0.0784313725490196,1
гермомешки,51,50,14,4,4704,0.23529411764705882,0.2857142857142857,0.0784313725490196,1
