Запрос;Кол-во сессий с поиском;Кол-во пользователей поиска;Сесиий с добавлением;Кол-во заказов с поиска;GMV поиска;CR в добавление;Доля переходов корзина - заказ;CR с поиска в заказ;Кол-во символов в строке;;;;;;;;;;;;;;;;;;;;;;;;;;
ножовки по металлу;837;805;353;114;86856;0.3249701314217443;0.3031161473087819;0.12783751493428913;18;;;;;;;;;;;;;;;;;;;;;;;;;;
весы;836;804;302;94;639848;0.2703349282296651;0.2814569536423841;0.10167464114832536;4;;;;;;;;;;;;;;;;;;;;;;;;;;
сигнальные жилеты;832;793;410;167;515185;0.3762019230769231;0.3829268292682927;0.18870192307692307;17;;;;;;;;;;;;;;;;;;;;;;;;;;
цепь;824;771;81;24;71434;0.08131067961165049;0.2839506172839506;0.027912621359223302;4;;;;;;;;;;;;;;;;;;;;;;;;;;
дюбель;822;797;379;120;76377;0.2895377128953771;0.28232189973614774;0.13017031630170317;6;;;;;;;;;;;;;;;;;;;;;;;;;;
обратный клапан;819;785;251;97;98209;0.24297924297924298;0.3466135458167331;0.10622710622710622;15;;;;;;;;;;;;;;;;;;;;;;;;;;
воронки для топлива и масла;812;782;535;210;62898;0.4408866995073892;0.36822429906542054;0.24261083743842365;27;;;;;;;;;;;;;;;;;;;;;;;;;;
зубило;811;791;315;92;88984;0.26633785450061653;0.2634920634920635;0.10234278668310727;6;;;;;;;;;;;;;;;;;;;;;;;;;;
гвоздезабивной инструмент по бетону toua gsn50е;811;763;174;61;2476227;0.15289765721331688;0.3275862068965517;0.07028360049321825;47;;;;;;;;;;;;;;;;;;;;;;;;;;
шлифовальные ленты;806;769;455;108;523452;0.2642679900744417;0.22197802197802197;0.12531017369727046;18;;;;;;;;;;;;;;;;;;;;;;;;;;
плащи дождевики;796;755;395;146;1079346;0.3203517587939699;0.3291139240506329;0.16331658291457288;15;;;;;;;;;;;;;;;;;;;;;;;;;;
аккумуляторные шлифмашины;794;782;137;19;243040;0.1297229219143577;0.13138686131386862;0.022670025188916875;25;;;;;;;;;;;;;;;;;;;;;;;;;;
канистра;790;765;267;88;171231;0.25063291139240507;0.3146067415730337;0.10632911392405063;8;;;;;;;;;;;;;;;;;;;;;;;;;;
электропила;787;736;147;46;321638;0.13341804320203304;0.2857142857142857;0.053367217280813214;11;;;;;;;;;;;;;;;;;;;;;;;;;;
ленты и полотна для ленточных пил;786;763;187;58;425599;0.1628498727735369;0.2994652406417112;0.07124681933842239;33;;;;;;;;;;;;;;;;;;;;;;;;;;
горелка;784;748;167;57;67931;0.15816326530612246;0.2994011976047904;0.06377551020408163;7;;;;;;;;;;;;;;;;;;;;;;;;;;
ящик для инструментов;783;754;274;72;232932;0.2081736909323116;0.23722627737226276;0.08301404853128991;21;;;;;;;;;;;;;;;;;;;;;;;;;;
кримперы - обжимной инструмент;781;749;225;43;89316;0.20102432778489115;0.18666666666666668;0.05377720870678617;30;;;;;;;;;;;;;;;;;;;;;;;;;;
фильтры для очистки воды;780;754;216;61;87480;0.16025641025641027;0.24537037037037038;0.06794871794871794;24;;;;;;;;;;;;;;;;;;;;;;;;;;
распорные дюбели;779;740;427;127;55486;0.37098844672657255;0.2810304449648712;0.1540436456996149;16;;;;;;;;;;;;;;;;;;;;;;;;;;
наушники противошумные;774;747;307;113;163780;0.32299741602067183;0.3517915309446254;0.13953488372093023;22;;;;;;;;;;;;;;;;;;;;;;;;;;
фильтры для автомобилей;767;722;300;90;48622;0.23076923076923078;0.26666666666666666;0.10430247718383312;23;;;;;;;;;;;;;;;;;;;;;;;;;;
пневматические пистолеты;766;755;215;74;107087;0.19973890339425587;0.32558139534883723;0.09138381201044386;24;;;;;;;;;;;;;;;;;;;;;;;;;;
сборные грядки;764;731;149;18;159947;0.10340314136125654;0.11409395973154363;0.02225130890052356;14;;;;;;;;;;;;;;;;;;;;;;;;;;
резина листовая;762;730;208;80;256729;0.18766404199475065;0.35096153846153844;0.09580052493438321;15;;;;;;;;;;;;;;;;;;;;;;;;;;
колесо;759;718;80;26;57745;0.0764163372859025;0.2875;0.030303030303030304;6;;;;;;;;;;;;;;;;;;;;;;;;;;
киянка;755;728;333;100;137097;0.31920529801324504;0.2852852852852853;0.12582781456953643;6;;;;;;;;;;;;;;;;;;;;;;;;;;
труборезы;751;733;10;4;9217;0.013315579227696404;0.4;0.005326231691078562;9;;;;;;;;;;;;;;;;;;;;;;;;;;
сетка;751;721;24;4;19518;0.02929427430093209;0.16666666666666666;0.005326231691078562;5;;;;;;;;;;;;;;;;;;;;;;;;;;
страховочные привязи;751;713;281;84;821167;0.28495339547270304;0.28113879003558717;0.1051930758988016;20;;;;;;;;;;;;;;;;;;;;;;;;;;
американка;749;666;132;25;58272;0.13618157543391188;0.1893939393939394;0.03337783711615487;10;;;;;;;;;;;;;;;;;;;;;;;;;;
автомобильные аккумуляторы;742;683;105;35;274908;0.11185983827493262;0.3047619047619048;0.0431266846361186;26;;;;;;;;;;;;;;;;;;;;;;;;;;
труба;739;716;132;33;56048;0.11096075778078485;0.25;0.044654939106901215;5;;;;;;;;;;;;;;;;;;;;;;;;;;
пневмофитинги;737;682;517;84;147020;0.2862957937584803;0.15473887814313347;0.10854816824966079;13;;;;;;;;;;;;;;;;;;;;;;;;;;
провод и кабель силовой пугв/пв-3;736;714;269;39;150796;0.1793478260869565;0.137546468401487;0.050271739130434784;33;;;;;;;;;;;;;;;;;;;;;;;;;;
угловая шлифмашина makita 125 мм, 720 вт, 11000 об\м, плавный пуск, антирестарт, 2.7 кг, коробка ga5030r;735;695;139;53;652992;0.17006802721088435;0.3597122302158273;0.06802721088435375;104;;;;;;;;;;;;;;;;;;;;;;;;;;
совки для мусора;729;697;387;175;195413;0.4252400548696845;0.4289405684754522;0.22770919067215364;16;;;;;;;;;;;;;;;;;;;;;;;;;;
сверла по стеклу, кафелю и керамике;725;684;590;168;159328;0.38068965517241377;0.2593220338983051;0.2110344827586207;35;;;;;;;;;;;;;;;;;;;;;;;;;;
маска сварочная;717;692;247;80;215370;0.28451882845188287;0.30364372469635625;0.10460251046025104;15;;;;;;;;;;;;;;;;;;;;;;;;;;
оптические нивелиры;712;667;209;53;1063833;0.22191011235955055;0.23444976076555024;0.06882022471910113;19;;;;;;;;;;;;;;;;;;;;;;;;;;
тэны для водонагревателей;711;663;97;33;88397;0.1111111111111111;0.31958762886597936;0.04360056258790436;25;;;;;;;;;;;;;;;;;;;;;;;;;;
шпагаты (веревки);706;685;287;108;296994;0.3031161473087819;0.36585365853658536;0.14872521246458922;17;;;;;;;;;;;;;;;;;;;;;;;;;;
гильзы соединительные для проводов (кабельные гильзы);700;665;451;101;122722;0.2842857142857143;0.2039911308203991;0.13142857142857142;53;;;;;;;;;;;;;;;;;;;;;;;;;;
фильтр для воды;696;677;356;72;277005;0.2614942528735632;0.19382022471910113;0.09913793103448276;15;;;;;;;;;;;;;;;;;;;;;;;;;;
нивелир;690;672;161;44;771216;0.16956521739130434;0.2422360248447205;0.05652173913043478;7;;;;;;;;;;;;;;;;;;;;;;;;;;
монтировки;685;662;182;52;92498;0.1854014598540146;0.2802197802197802;0.07445255474452554;10;;;;;;;;;;;;;;;;;;;;;;;;;;
тройник;684;666;70;17;23244;0.07748538011695906;0.22857142857142856;0.023391812865497075;7;;;;;;;;;;;;;;;;;;;;;;;;;;
болторезы и арматурные ножницы;674;653;243;76;1004915;0.2789317507418398;0.3045267489711934;0.10979228486646884;30;;;;;;;;;;;;;;;;;;;;;;;;;;
магнит;669;653;35;13;6709;0.029895366218236172;0.2571428571428571;0.013452914798206279;6;;;;;;;;;;;;;;;;;;;;;;;;;;
пневмоинструмент;667;631;285;57;488111;0.2143928035982009;0.18947368421052632;0.08095952023988005;16;;;;;;;;;;;;;;;;;;;;;;;;;;
дверные петли;667;639;293;83;90175;0.28785607196401797;0.2764505119453925;0.12143928035982009;13;;;;;;;;;;;;;;;;;;;;;;;;;;
пистолеты для ремонта;664;650;302;93;154312;0.2936746987951807;0.2814569536423841;0.1280120481927711;21;;;;;;;;;;;;;;;;;;;;;;;;;;
кран шаровый;663;638;450;78;249100;0.36048265460030166;0.16666666666666666;0.11312217194570136;12;;;;;;;;;;;;;;;;;;;;;;;;;;
электрические степлеры;656;627;72;25;90976;0.08384146341463415;0.3055555555555556;0.03353658536585366;22;;;;;;;;;;;;;;;;;;;;;;;;;;
битумные мастики (гидроизоляционные);654;637;266;84;495816;0.3103975535168196;0.31203007518796994;0.12691131498470948;36;;;;;;;;;;;;;;;;;;;;;;;;;;
смазочные масла для цепей и бензопил;646;634;293;155;105266;0.37770897832817335;0.5017064846416383;0.22755417956656346;36;;;;;;;;;;;;;;;;;;;;;;;;;;
felo;638;531;252;23;145094;0.1426332288401254;0.07539682539682539;0.029780564263322883;4;;;;;;;;;;;;;;;;;;;;;;;;;;
зеркало;635;603;59;14;123346;0.07086614173228346;0.23728813559322035;0.02204724409448819;7;;;;;;;;;;;;;;;;;;;;;;;;;;
электрические триммеры;635;590;138;12;72373;0.12440944881889764;0.08695652173913043;0.01889763779527559;22;;;;;;;;;;;;;;;;;;;;;;;;;;
столы-верстаки;632;619;59;10;132962;0.06487341772151899;0.15254237288135594;0.014240506329113924;14;;;;;;;;;;;;;;;;;;;;;;;;;;
esab;625;584;67;23;150591;0.0768;0.3283582089552239;0.0352;4;;;;;;;;;;;;;;;;;;;;;;;;;;
автомойки karcher;624;607;94;14;319541;0.09935897435897435;0.14893617021276595;0.022435897435897436;17;;;;;;;;;;;;;;;;;;;;;;;;;;
пружины;621;599;81;23;39452;0.08856682769726248;0.25925925925925924;0.033816425120772944;7;;;;;;;;;;;;;;;;;;;;;;;;;;
мотокультиваторы (бензиновые культиваторы);616;564;76;13;300226;0.0762987012987013;0.17105263157894737;0.021103896103896104;42;;;;;;;;;;;;;;;;;;;;;;;;;;
частотные преобразователи;607;555;102;24;461113;0.12520593080724876;0.23529411764705882;0.039538714991762765;25;;;;;;;;;;;;;;;;;;;;;;;;;;
бензопилы stihl ms 180 (штиль мс 180);604;574;47;5;114620;0.039735099337748346;0.10638297872340426;0.008278145695364239;37;;;;;;;;;;;;;;;;;;;;;;;;;;
пробойники;602;583;136;29;37038;0.09800664451827243;0.17647058823529413;0.03986710963455149;10;;;;;;;;;;;;;;;;;;;;;;;;;;
мусорные ведра;600;582;247;71;194841;0.2833333333333333;0.2793522267206478;0.115;14;;;;;;;;;;;;;;;;;;;;;;;;;;
люстры;600;547;221;21;112030;0.15666666666666668;0.09502262443438914;0.035;6;;;;;;;;;;;;;;;;;;;;;;;;;;
уайт спирит;596;577;233;116;181955;0.33557046979865773;0.43776824034334766;0.17114093959731544;11;;;;;;;;;;;;;;;;;;;;;;;;;;
наборы напильников, надфилей и рашпилей;595;572;288;59;103297;0.3176470588235294;0.2013888888888889;0.09747899159663866;39;;;;;;;;;;;;;;;;;;;;;;;;;;
набор сверел;595;580;254;68;162979;0.2857142857142857;0.24803149606299213;0.10588235294117647;12;;;;;;;;;;;;;;;;;;;;;;;;;;
патроны для дрели и шуруповерта;594;562;133;54;41814;0.17003367003367004;0.3609022556390977;0.08080808080808081;31;;;;;;;;;;;;;;;;;;;;;;;;;;
полуавтомат;593;541;52;5;103892;0.05733558178752108;0.09615384615384616;0.008431703204047217;11;;;;;;;;;;;;;;;;;;;;;;;;;;
набор метчиков;590;536;127;36;238253;0.17288135593220338;0.25196850393700787;0.05423728813559322;14;;;;;;;;;;;;;;;;;;;;;;;;;;
дождевик;589;561;230;87;485953;0.2937181663837012;0.3391304347826087;0.13242784380305603;8;;;;;;;;;;;;;;;;;;;;;;;;;;
импакт;589;567;4;1;63;0.0050933786078098476;0.25;0.001697792869269949;6;;;;;;;;;;;;;;;;;;;;;;;;;;
линолеум;589;554;5;1;101;0.006791171477079796;0.2;0.001697792869269949;8;;;;;;;;;;;;;;;;;;;;;;;;;;
победитовые сверла по бетону;589;566;310;90;29170;0.2767402376910017;0.2870967741935484;0.15110356536502548;28;;;;;;;;;;;;;;;;;;;;;;;;;;
зенкер;589;569;238;80;158850;0.2733446519524618;0.31092436974789917;0.12563667232597622;6;;;;;;;;;;;;;;;;;;;;;;;;;;
сигнальные ленты;587;551;295;109;137677;0.4071550255536627;0.36271186440677966;0.18228279386712096;16;;;;;;;;;;;;;;;;;;;;;;;;;;
динамометрические отвертки;586;557;56;12;133322;0.08020477815699659;0.21428571428571427;0.020477815699658702;26;;;;;;;;;;;;;;;;;;;;;;;;;;
клеммники;580;564;352;82;88311;0.30689655172413793;0.2215909090909091;0.13448275862068965;9;;;;;;;;;;;;;;;;;;;;;;;;;;
домкраты реечные;579;554;66;14;128219;0.08290155440414508;0.21212121212121213;0.024179620034542316;16;;;;;;;;;;;;;;;;;;;;;;;;;;
лазерная рулетка;577;566;128;46;201149;0.18370883882149047;0.3203125;0.07105719237435008;16;;;;;;;;;;;;;;;;;;;;;;;;;;
веревки, шпагаты, цепи, канаты;577;568;289;105;341289;0.3483535528596187;0.3460207612456747;0.1733102253032929;30;;;;;;;;;;;;;;;;;;;;;;;;;;
болт м8;573;562;182;72;55128;0.23734729493891799;0.3791208791208791;0.12041884816753927;7;;;;;;;;;;;;;;;;;;;;;;;;;;
пеноплекс;569;554;60;15;103036;0.08611599297012303;0.23333333333333334;0.02460456942003515;9;;;;;;;;;;;;;;;;;;;;;;;;;;
гибкие газовые подводки и шланги;568;535;271;97;121766;0.2975352112676056;0.33210332103321033;0.15845070422535212;32;;;;;;;;;;;;;;;;;;;;;;;;;;
hanskonner;568;522;133;10;164904;0.0897887323943662;0.07518796992481203;0.017605633802816902;10;;;;;;;;;;;;;;;;;;;;;;;;;;
ножовка;566;546;224;59;70888;0.2773851590106007;0.2544642857142857;0.10070671378091872;7;;;;;;;;;;;;;;;;;;;;;;;;;;
головка;566;527;120;28;11374;0.10424028268551237;0.20833333333333334;0.044169611307420496;7;;;;;;;;;;;;;;;;;;;;;;;;;;
трехсекционные лестницы (алюминиевые);560;517;165;40;626150;0.21607142857142858;0.24242424242424243;0.07142857142857142;37;;;;;;;;;;;;;;;;;;;;;;;;;;
приспособления и расходные материалы для сварки;558;549;272;50;138397;0.2168458781362007;0.16911764705882354;0.08243727598566308;47;;;;;;;;;;;;;;;;;;;;;;;;;;
ранцевый распылитель patriot pt-12ac 755302530;557;519;65;25;122436;0.1059245960502693;0.38461538461538464;0.04488330341113106;46;;;;;;;;;;;;;;;;;;;;;;;;;;
stels;556;544;79;6;54920;0.08093525179856115;0.0759493670886076;0.01079136690647482;5;;;;;;;;;;;;;;;;;;;;;;;;;;
пищевые контейнеры для еды;556;540;228;56;42235;0.20323741007194246;0.2149122807017544;0.08812949640287769;26;;;;;;;;;;;;;;;;;;;;;;;;;;
мешок для строительного мусора (10 шт;;;;;;;;;37;;;;;;;;;;;;;;;;;;;;;;;;;;
реле давления;551;534;16;5;8211;0.023593466424682397;0.25;0.007259528130671506;13;;;;;;;;;;;;;;;;;;;;;;;;;;
аккумуляторы и комплектующие;550;545;28;10;80907;0.04;0.35714285714285715;0.01818181818181818;28;;;;;;;;;;;;;;;;;;;;;;;;;;
dremel;545;507;41;14;53164;0.05688073394495413;0.3170731707317073;0.023853211009174313;6;;;;;;;;;;;;;;;;;;;;;;;;;;
крона;544;517;238;113;68211;0.36580882352941174;0.4327731092436975;0.18933823529411764;5;;;;;;;;;;;;;;;;;;;;;;;;;;
цепные тали;543;514;175;53;614305;0.23572744014732966;0.3028571428571429;0.09760589318600368;11;;;;;;;;;;;;;;;;;;;;;;;;;;
туалетные ершики;539;511;309;111;181455;0.4044526901669759;0.33980582524271846;0.19480519480519481;16;;;;;;;;;;;;;;;;;;;;;;;;;;
защитные очки;539;524;271;92;95289;0.37105751391465674;0.3173431734317343;0.15955473098330242;13;;;;;;;;;;;;;;;;;;;;;;;;;;
беруши;536;507;284;104;112933;0.3358208955223881;0.3345070422535211;0.17723880597014927;6;;;;;;;;;;;;;;;;;;;;;;;;;;
стиральная машина;534;506;6;1;15050;0.009363295880149813;0.16666666666666666;0.0018726591760299626;17;;;;;;;;;;;;;;;;;;;;;;;;;;
джилекс;531;481;58;11;20195;0.07156308851224105;0.1724137931034483;0.018832391713747645;7;;;;;;;;;;;;;;;;;;;;;;;;;;
плашкодержатели;530;511;229;71;67087;0.25660377358490566;0.3056768558951965;0.1320754716981132;15;;;;;;;;;;;;;;;;;;;;;;;;;;
укрывная пленка;528;509;342;121;74110;0.4128787878787879;0.3391812865497076;0.2196969696969697;15;;;;;;;;;;;;;;;;;;;;;;;;;;
пропановые редукторы;528;512;196;81;165250;0.3087121212121212;0.4030612244897959;0.14962121212121213;20;;;;;;;;;;;;;;;;;;;;;;;;;;
биты магнитные;528;502;41;10;2639;0.0625;0.24390243902439024;0.01893939393939394;14;;;;;;;;;;;;;;;;;;;;;;;;;;
веревки, шнуры, нити;527;515;304;110;89648;0.3700189753320683;0.32894736842105265;0.18975332068311196;20;;;;;;;;;;;;;;;;;;;;;;;;;;
отводы канализационные;526;506;381;111;36434;0.4068441064638783;0.2755905511811024;0.19961977186311788;22;;;;;;;;;;;;;;;;;;;;;;;;;;
уличные урны;526;489;231;75;544272;0.27566539923954375;0.30303030303030304;0.13307984790874525;12;;;;;;;;;;;;;;;;;;;;;;;;;;
ударная отвертка;523;505;103;40;55948;0.1682600382409178;0.3786407766990291;0.0745697896749522;16;;;;;;;;;;;;;;;;;;;;;;;;;;
краски-побелки для садовых деревьев ;522;480;273;137;105721;0.42337164750957856;0.48717948717948717;0.2547892720306513;36;;;;;;;;;;;;;;;;;;;;;;;;;;
аптечки первой помощи;519;500;234;85;225006;0.36416184971098264;0.3418803418803419;0.15414258188824662;21;;;;;;;;;;;;;;;;;;;;;;;;;;
заглушки для профильных труб и столбов;516;493;295;105;80214;0.375968992248062;0.33559322033898303;0.19186046511627908;38;;;;;;;;;;;;;;;;;;;;;;;;;;
системы выравнивания плитки;515;487;244;94;251513;0.2970873786407767;0.35655737704918034;0.16893203883495145;27;;;;;;;;;;;;;;;;;;;;;;;;;;
шланг для компрессора;514;490;238;74;150755;0.3463035019455253;0.28991596638655465;0.13424124513618677;21;;;;;;;;;;;;;;;;;;;;;;;;;;
маркер белый;513;488;255;113;171444;0.4093567251461988;0.4235294117647059;0.21052631578947367;12;;;;;;;;;;;;;;;;;;;;;;;;;;
контакторы электромагнитные;507;471;177;42;213690;0.22879684418145957;0.23728813559322035;0.08284023668639054;27;;;;;;;;;;;;;;;;;;;;;;;;;;
cosmofen;506;479;65;34;66540;0.11264822134387352;0.5230769230769231;0.06719367588932806;8;;;;;;;;;;;;;;;;;;;;;;;;;;
мебельная фурнитура;505;497;112;25;10773;0.11485148514851486;0.22321428571428573;0.04950495049504951;19;;;;;;;;;;;;;;;;;;;;;;;;;;
терморегуляторы и термостаты;503;489;32;16;48304;0.04771371769383698;0.40625;0.02584493041749503;28;;;;;;;;;;;;;;;;;;;;;;;;;;
люки канализационные;502;480;89;29;124084;0.1394422310756972;0.30337078651685395;0.053784860557768925;20;;;;;;;;;;;;;;;;;;;;;;;;;;
провод и кабель сип;502;479;100;17;83822;0.17330677290836655;0.17;0.03386454183266932;19;;;;;;;;;;;;;;;;;;;;;;;;;;
щетка по металлу vertextools с пластиковой ручкой 1212-01;500;488;179;96;43364;0.348;0.5251396648044693;0.188;57;;;;;;;;;;;;;;;;;;;;;;;;;;
круг отрезной абразивный по металлу (125x1.2x22.2 мм) луга 4603347328064;499;486;158;78;229242;0.28256513026052105;0.46835443037974683;0.14829659318637275;72;;;;;;;;;;;;;;;;;;;;;;;;;;
флюс паяльный;499;484;257;71;17928;0.3226452905811623;0.2723735408560311;0.1402805611222445;13;;;;;;;;;;;;;;;;;;;;;;;;;;
набор;498;406;32;10;82944;0.040160642570281124;0.28125;0.018072289156626505;5;;;;;;;;;;;;;;;;;;;;;;;;;;
